correct_prediction,predicted_genus,real_species,real_genus,filepath
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_43.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_152.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_39.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_83.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_25.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_133.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_44.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_57.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_112.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_87.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_90.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_106.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_164.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_24.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_49.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_101.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_88.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_121.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_10.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_68.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_19.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_111.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_55.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_6.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_132.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_114.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_54.jpg
False,Sunius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_141.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_2.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_144.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_96.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_150.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_75.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_110.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_137.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_32.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_18.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_51.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_8.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_46.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_66.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_130.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_102.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_63.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_48.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_23.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_140.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_9.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_91.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_86.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_17.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_40.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_134.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_50.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_73.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_77.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_29.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_131.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_175.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_0.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_127.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_13.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_16.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_174.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_78.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_31.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_117.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_147.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_151.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_182.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_170.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_135.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_173.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_119.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_171.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_59.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_7.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_183.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_67.jpg
False,Astenus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_93.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_116.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_186.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_35.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_172.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_107.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_81.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_179.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_115.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_94.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_27.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_105.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_145.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_118.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_14.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_126.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_157.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_128.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_100.jpg
False,Astenus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_56.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_30.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_159.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_120.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_21.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_156.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_178.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_181.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_47.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_52.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_85.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_76.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_69.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_5.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_129.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_165.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_142.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_11.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_34.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_123.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_146.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_113.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_138.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_180.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_139.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_42.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_82.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_20.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_70.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_64.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_26.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_168.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_95.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_72.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_65.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_12.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_176.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_160.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_36.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_28.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_53.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_184.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_99.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_60.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_61.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_161.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_15.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_167.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_41.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_4.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_84.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_155.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_79.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_185.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_80.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_148.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_162.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_149.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_163.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_74.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_45.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_71.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_104.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_169.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_33.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_108.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_97.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_124.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_154.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_3.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_98.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_125.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_153.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_158.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_22.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_38.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_109.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_122.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_89.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_177.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_103.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_62.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_1.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_143.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_37.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_136.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_166.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_92.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_58.jpg
