,class,f1_score,avg_pixels
0,Achenium humile,1.0,66567
1,Acylophorus glaberrimus,1.0,71718
2,Acylophorus wagenschieberi,1.0,93683
3,Astenus gracilis,0.58,17893
4,Astenus immacullatus,1.0,20411
5,Astenus lyonessius,0.52,17030
6,Astenus procerus,0.86,25695
7,Astenus pulchellus,0.86,19160
8,Atrecus affinis,1.0,61106
9,Atrecus longiceps,1.0,59026
10,Bisnius cephalotes,0.87,91779
11,Bisnius fimetarius,0.93,74489
12,Bisnius nitidulus,0.97,38354
13,Bisnius parcus,0.93,95497
14,Bisnius pseudoparcus,1.0,72863
15,Bisnius puella,0.93,90449
16,Bisnius subuliformis,0.96,70916
17,Cafius xantholoma,0.99,80535
18,Creophilus maxillosus,0.94,375473
19,Dinothenarus pubescens,1.0,264386
20,Emus hirtus,1.0,652774
21,Erichsonius cinerascens,1.0,31519
22,Euryporus picipes,1.0,141941
23,Gabrius appendiculatus,0.72,25017
24,Gabrius austriacus,0.55,29477
25,Gabrius breviventer,0.57,26743
26,Gabrius exiguus,0.5,31077
27,Gabrius keysianus,0.88,31032
28,Gabrius nigritulus,0.14,27649
29,Gabrius osseticus,0.96,50993
30,Gabrius splendidulus,0.84,31004
31,Gabrius trossulus,0.95,28876
32,Gauropterus fulgidus,0.97,94916
33,Gyrohypnus angustatus,0.46,48977
34,Gyrohypnus atratus,0.95,42617
35,Gyrohypnus fracticornis,0.67,53514
36,Gyrohypnus punctulatus,0.67,62062
37,Heterothops binotatus,0.67,34950
38,Heterothops dissimilis,0.22,30846
39,Heterothops minutus,0.73,36167
40,Heterothops niger,1.0,33248
41,Heterothops praevius,0.91,34950
42,Heterothops quadripunctulus,0.92,29536
43,Heterothops stiglundbergi,1.0,40384
44,Lathrobium brunnipes,0.96,86434
45,Lathrobium dilutum,1.0,29593
46,Lathrobium elongatum,0.83,81442
47,Lathrobium fovulum,0.93,55997
48,Lathrobium geminum,0.52,86077
49,Lathrobium impressum,0.95,40076
50,Lathrobium pallidum,0.78,40011
51,Lathrobium rufipenne,0.98,53372
52,Leptacinus batychrus,0.59,38358
53,Leptacinus formicetorum,0.8,19084
54,Leptacinus intermedius,0.63,32953
55,Leptacinus pusillus,0.67,29777
56,Lithocharis nigriceps,1.0,24370
57,Lithocharis ochracea,0.99,40562
58,Lobrathium multipunctum,0.93,59962
59,Medon apicalis,0.92,46832
60,Medon brunneus,1.0,46764
61,Medon castaneus,0.95,88440
62,Medon ripicola,0.93,47712
63,Megalinus glabratus,1.0,147536
64,Bisnius sordidus,0.88,64153
65,Gabronthus thermarum,1.0,18152
66,Lathrobium fulvipenne,0.93,82906
67,Neobisnius lathrobioides,0.98,27052
68,Paederidus ruficollis,1.0,85192
69,Philonthus debilis,0.84,50446
70,Philonthus nitidus,0.98,192036
71,Platydracus stercorarius,1.0,246956
72,Quedius levicollis,0.67,173632
73,Quedius semiobscurus,0.89,89611
74,Neobisnius villosulus,0.75,25102
75,Nudobius lentus,0.92,62135
76,Ochthephilum collare,0.67,42818
77,Ochthephilum fracticorne,0.97,40479
78,Ocypus aeneocephalus,0.95,214363
79,Ocypus brunnipes,0.95,253886
80,Ocypus fuscatus,0.75,204285
81,Ocypus nitens,0.93,320454
82,Ocypus olens,0.91,836954
83,Ocypus ophthalmicus,0.91,411914
84,Ocypus picipennis,0.95,297124
85,Ontholestes murinus,0.96,241173
86,Ontholestes tessellatus,1.0,465145
87,Othius angustus,0.8,42085
88,Othius punctulatus,1.0,114124
89,Othius subuliformis,0.75,42923
90,Paederus fuscipes,0.93,73492
91,Paederus littoralis,1.0,88793
92,Paederus riparius,0.95,98420
93,Phacophallus parumpunctatus,0.75,44669
94,Philonthus addendus,0.59,175448
95,Philonthus albipes,0.91,55439
96,Philonthus alpinus,0.67,54164
97,Philonthus atratus,0.84,106229
98,Philonthus binotatus,0.86,102463
99,Philonthus carbonarius,0.8,80804
100,Philonthus cognatus,0.95,143526
101,Philonthus concinnus,0.86,75478
102,Philonthus confinis,0.5,78606
103,Philonthus corruscus,1.0,112042
104,Philonthus corvinus,0.82,87290
105,Philonthus cruentatus,0.76,87019
106,Philonthus decorus,0.94,210586
107,Philonthus discoideus,1.0,54639
108,Philonthus ebeninus,1.0,107738
109,Philonthus fumarius,1.0,94831
110,Philonthus furcifer,0.67,61351
111,Philonthus intermedius,0.8,153261
112,Philonthus jurgans,0.12,81601
113,Philonthus laminatus,0.9,151042
114,Philonthus lepidus,0.96,70050
115,Philonthus longicornis,0.57,92277
116,Philonthus mannerheimi,0.56,114636
117,Philonthus marginatus,1.0,124063
118,Philonthus micans,0.94,55238
119,Philonthus micantoides,0.53,53050
120,Philonthus nigrita,1.0,79507
121,Philonthus nitidicollis,0.67,83460
122,Philonthus parvicornis,0.82,64964
123,Philonthus politus,0.73,174416
124,Philonthus punctus,0.93,115367
125,Philonthus quisquiliarius,0.8,73746
126,Philonthus rectangulus,0.97,108409
127,Philonthus rubripennis,0.92,56638
128,Philonthus rufipes,0.67,99538
129,Philonthus salinus,0.92,66818
130,Philonthus sanguinolentus,0.97,93296
131,Philonthus splendens,0.96,208632
132,Philonthus succicola,0.67,174992
133,Philonthus tenuicornis,0.66,156077
134,Philonthus varians,0.73,78260
135,Philonthus ventralis,0.74,59580
136,Platydracus fulvipes,1.0,276543
137,Platydracus latebricola,0.91,200127
138,Pseudomedon obscurellus,0.95,37545
139,Pseudomedon obsoletus,0.92,39038
140,Quedius auricomus,0.89,53067
141,Quedius boopoides,0.62,60912
142,Quedius boops,0.63,45727
143,Quedius brevicornis,0.85,144901
144,Quedius brevis,0.93,72361
145,Quedius cinctus,0.93,93387
146,Quedius cruentus,0.95,96899
147,Quedius curtipennis,0.53,141815
148,Quedius fulgidus,1.0,142544
149,Quedius fuliginosus,0.69,138441
150,Quedius fulvicollis,1.0,63223
151,Quedius fumatus,1.0,90082
152,Quedius infuscatus,0.86,49359
153,Quedius lateralis,1.0,200636
154,Quedius longicornis,1.0,122237
155,Quedius lucidulus,0.83,53904
156,Quedius maurorufus,0.83,62529
157,Quedius maurus,0.76,88856
158,Quedius mesomelinus,0.81,117566
159,Quedius microps,1.0,41108
160,Quedius molochinus,0.93,143469
161,Quedius nigriceps,1.0,84779
162,Quedius nigrocaeruleus,1.0,127408
163,Quedius nitipennis,0.77,60864
164,Quedius persimilis,0.73,46743
165,Quedius picipes,1.0,135228
166,Quedius puncticollis,0.9,105024
167,Quedius scintillans,0.82,47511
168,Quedius scitus,0.95,87159
169,Quedius semiaeneus,0.89,75327
170,Quedius simplicifrons,0.88,149891
171,Quedius suturalis,0.94,68204
172,Quedius truncicola,0.89,177062
173,Quedius umbrinus,0.86,70786
174,Quedius xanthopus,0.93,90321
175,Remus sericeus,1.0,33907
176,Rugilus erichsoni,0.92,49075
177,Rugilus orbiculatus,0.95,47246
178,Rugilus rufipes,0.99,52616
179,Scopaeus laevigatus,1.0,16810
180,Scopaeus minutus,0.89,12375
181,Scopaeus sulcicollis,0.88,14122
182,Staphylinus caesareus,0.67,547634
183,Staphylinus dimidiaticornis,0.8,488318
184,Staphylinus erythropterus,0.93,344456
185,Sunius bicolor,0.87,39779
186,Sunius melanocephalus,0.88,34543
187,Tasgius ater,1.0,352409
188,Tasgius globulifer,0.73,218087
189,Tasgius melanarius,0.86,274440
190,Tasgius morsitans,1.0,306524
191,Tetartopeus quadratus,0.96,70712
192,Tetartopeus terminatus,0.96,56185
193,Velleius dilatatus,0.91,535701
194,Xantholinus dvoraki,0.8,72690
195,Xantholinus gallicus,0.0,60881
196,Xantholinus laevigatus,0.73,64134
197,Xantholinus linearis,0.75,55424
198,Xantholinus longiventris,0.75,63168
199,Xantholinus tricolor,0.93,90681
